"addr_short","ISIid","author","address","lon","lat"
" Aberdeen AB11 9DB,  Scotland","WOS:000325236400006","Wright, Peter J."," Marine Lab, Marine Scotland Sci, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000336117000013","Olsen, Kjell"," FRS Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000336430200006","O'Sullivan, Martha"," Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000336430200006","Wright, Peter J."," Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000342978600008","Wright, Peter J.","Marine Scotland Sci, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000342978600011","Holmes, Steven J."," Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000342978600011","Fryer, Robert J."," Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000342978600011","Wright, Peter J."," Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000343317100012","Bastrikin, Dorota K."," Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000343317100012","Gallego, Alejandro"," Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000343317100012","Millar, Colin P."," Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000343317100012","Jones, Emma G."," Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000345706100011","Neat, Francis C."," Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000345706100011","Berx, Barbara"," Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000345706100011","Wright, Peter John"," Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB11 9DB,  Scotland","WOS:000359668000006","Marcos-Lopez, Mar"," Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",-2.1,57.1
" Aberdeen AB12 5YT,  Scotland","WOS:000336637300024","Hawkins, Anthony D."," Loughine Ltd, Aberdeen AB12 5YT, Scotland",-2.2,57.1
" Aberdeen AB24 2TZ,  Scotland","WOS:000299199000009","McPherson, Lindsay R."," Univ Aberdeen, Aberdeen AB24 2TZ, Scotland",-2.1,57.2
" Aberdeen AB24 2TZ,  Scotland","WOS:000310821600004","Vasilakopoulos, P."," Univ Aberdeen, Sch Biol Sci, Aberdeen AB24 2TZ, Scotland",-2.1,57.2
" Aberdeen AB24 2TZ,  Scotland","WOS:000310821600004","Marshall, C. T."," Univ Aberdeen, Sch Biol Sci, Aberdeen AB24 2TZ, Scotland",-2.1,57.2
" Aberdeen AB24 2TZ,  Scotland","WOS:000312782700022","Marcoux, Marianne"," Univ Aberdeen, Inst Biol & Environm Sci, Aberdeen AB24 2TZ, Scotland",-2.1,57.2
" Aberdeen AB24 2TZ,  Scotland","WOS:000315458700008","Mackenzie, Ken"," Univ Aberdeen, Sch Biol Sci Zool, Aberdeen AB24 2TZ, Scotland",-2.1,57.2
" Aberdeen AB24 2TZ,  Scotland","WOS:000322930200019","Fernandes, Paul G."," Univ Aberdeen, Inst Biol & Environm Sci, Aberdeen AB24 2TZ, Scotland",-2.1,57.2
" Aberdeen AB25 2ZD,  Scotland","WOS:000301703700014","Hold, George"," Univ Aberdeen, Dept Med & Therapeut, Aberdeen AB25 2ZD, Scotland",-2.1,57.2
